Plaatsnaam;Provincie;Latitude;Longitude
's-Graveland;Noord-Holland;52.244.167;5.121.111
's-Gravendeel;Zuid-Holland;517.792.843;46.180.902
's-Gravenmoer;Noord-Brabant;516.588.074;4.942.094
's-Gravenpolder;Zeeland;514.601.331;390.371
's-Gravenzande;Zuid-Holland;520.070.288;41.643.986
's-Heer-Abtskerke;Zeeland;51.470.885;38.817.753
's-Heer-Arendskerke;Zeeland;514.916.391;38.231.764
's-Heer-Hendrikskinderen;Zeeland;515.023.009;38.613.904
's-Heerenberg;Gelderland;518.765.436;62.586.522
's-Heerenbroek;Overijssel;525.384.188;60.121.874
's-Heerenhoek;Zeeland;514.530.498;37.697.674
's-Hertogenbosch;Noord-Brabant;517.308.226;52.888.925
't Goy;Utrecht;520.016.048;52.219.072
't Haantje;Drenthe;528.143.455;68.220.143
't Harde;Gelderland;524.154.103;58.839.833
't Loo Oldebroek;Gelderland;524.458.724;59.535.445
't Veld;Noord-Holland;527.398.968;48.548.368
't Waar;Groningen;532.238.038;69.411.429
't Zand;Noord-Holland;528.366.902;47.563.978
't Zandt;Groningen;533.661.197;67.744.058
Aadorp;Overijssel;5.237.416;66.289.088
Aagtekerke;Zeeland;515.466.135;3.511.869
Aalden;Drenthe;527.918.073;67.175.711
Aalsmeer;Noord-Holland;522.802.074;47.932.523
Aalsmeerderbrug;Noord-Holland;522.738.103;47.497.732
Aalst;Gelderland;517.822.878;51.260.223
Aalsum;Friesland;533.378.209;60.033.683
Aalten;Gelderland;519.178.718;6.594.148
Aardenburg;Zeeland;512.742.727;34.453.328
Aarlanderveen;Zuid-Holland;521.409.426;4.728.984
Aarle-Rixtel;Noord-Brabant;515.096.192;56.364.183
Aartswoud;Noord-Holland;527.427.274;49.496.928
Abbega;Friesland;530.192.891;55.716.955
Abbekerk;Noord-Holland;527.316.774;50.170.886
Abbenbroek;Zuid-Holland;5.184.872;42.428.247
Abbenes;Noord-Holland;522.328.358;45.915.174
Abcoude;Utrecht;52.272.071;49.704.743
Achlum;Friesland;531.480.338;54.847.188
Achterveld;Utrecht;521.366.519;54.965.062
Achterveld;Gelderland;52.137.778;5.521.111
Achthuizen;Zuid-Holland;516.874.623;4.280.891
Achtmaal;Noord-Brabant;514.541.025;45.832.867
Acquoy;Gelderland;518.794.348;51.346.229
Adorp;Groningen;532.746.405;65.339.811
Aduard;Groningen;532.567.715;64.596.001
Aerdenhout;Noord-Holland;523.645.889;45.965.109
Aerdt;Gelderland;518.939.934;6.083.127
Afferden;Gelderland;518.793.927;56.338.617
Afferden;Flevoland;525.279.781;55.953.508
Agelo;Overijssel;523.925;6.886.111
Akersloot;Noord-Holland;525.609.159;47.338.008
Akkrum;Friesland;530.493.736;58.341.466
Akmarijp;Friesland;530.056.557;57.886.028
Albergen;Overijssel;523.732.628;67.636.425
Alblasserdam;Zuid-Holland;518.727.595;46.874.869
Alde Leie;Friesland;532.927.064;57.677.418
Aldeboarn;Friesland;530.481.093;58.924.892
Aldtsjerk;Friesland;532.643.034;58.891.236
Alem;Gelderland;517.875.937;53.408.986
Alkmaar;Noord-Holland;526.687.557;47.640.492
Allingawier;Friesland;530.476.961;54.459.764
Almelo;Overijssel;523.854.309;66.431.854
Almen;Gelderland;521.579.224;63.023.448
Almere;Flevoland;523.532.452;51.483.313
Almkerk;Noord-Brabant;517.719.653;49.609.986
Alphen;Gelderland;518.228.055;54.731.012
Alphen;Noord-Brabant;514.823.836;49.533.065
Alphen aan den Rijn;Zuid-Holland;521.024.489;46.477.615
Alteveer;Groningen;530.523.346;69.840.931
Alteveer;Drenthe;531.111.584;64.330.578
Altforst;Gelderland;518.492.801;5.565.354
Ambt Delden;Overijssel;522.707.575;66.395.438
Ameide;Zuid-Holland;519.543.595;49.624.281
Amen;Drenthe;52.942.347;66.122.589
America;Limburg;514.362.036;59.792.472
Amerongen;Utrecht;520.025.516;54.604.852
Amersfoort;Utrecht;522.037.461;54.215.561
Ammerstol;Zuid-Holland;519.273.544;48.077.745
Ammerzoden;Gelderland;517.481.635;52.227.623
Amstelhoek;Utrecht;522.317.442;48.349.976
Amstelveen;Noord-Holland;522.603.518;48.716.177
Amstenrade;Limburg;509.394.805;59.247.853
Amsterdam;Noord-Holland;523.295.182;49.227.935
Amsterdam-Zuidoost;Noord-Holland;523.110.148;50.140.928
Andel;Noord-Brabant;517.851.101;50.548.909
Andelst;Gelderland;519.074.859;57.288.373
Anderen;Drenthe;53.001.206;66.852.742
Andijk;Noord-Holland;527.454.906;52.208.756
Ane;Overijssel;52.613.657;66.530.537
Anerveen;Overijssel;526.314.083;66.572.574
Anevelde;Overijssel;525.975.062;66.496.078
Angeren;Gelderland;519.163.268;59.568.715
Angerlo;Gelderland;519.956.681;61.334.407
Anjum;Friesland;533.743.702;61.266.778
Ankeveen;Noord-Holland;522.642.195;5.098.253
