  STN,YYYYMMDD,   FG,   TG,   TN,   TX,    Q,   RH,   PG,   UG
240,20041101,45,97,84,108,326,0,10226,76
240,20041102,40,88,76,97,170,24,10198,88
240,20041103,27,100,82,117,200,18,10181,98
240,20041104,42,100,77,134,304,-1,10192,90
240,20041105,62,102,82,124,391,-1,10252,73
240,20041106,37,102,70,136,289,6,10229,84
240,20041107,18,87,52,116,393,0,10231,76
240,20041108,31,74,33,90,151,1,10177,83
240,20041109,25,29,3,61,601,0,10148,87
240,20041110,33,70,26,94,203,38,10094,91
240,20041111,23,43,5,67,285,0,10213,90
240,20041112,61,60,13,115,143,36,10187,91
240,20041113,45,58,20,95,390,57,10274,81
240,20041114,21,46,-7,108,482,1,10323,89
240,20041115,51,89,43,105,49,-1,10251,84
240,20041116,55,111,98,121,124,6,10234,92
240,20041117,94,120,112,128,132,63,10168,90
240,20041118,68,77,26,122,74,204,10090,84
240,20041119,70,41,15,64,213,76,10134,80
240,20041120,50,30,1,64,285,56,10207,85
240,20041121,44,25,-3,89,260,40,10220,93
240,20041122,99,113,78,125,145,10,10135,87
240,20041123,36,74,10,108,351,4,10259,84
240,20041124,19,23,-9,73,413,0,10329,92
240,20041125,23,-15,-26,8,161,-1,10264,97
240,20041126,58,48,-17,95,83,45,10205,97
240,20041127,35,80,49,98,161,0,10212,89
240,20041128,33,79,56,92,81,9,10118,95
240,20041129,19,74,60,90,107,0,10170,95
240,20041130,30,55,27,77,232,0,10152,95
240,20051101,62,122,74,152,540,1,10126,85
240,20051102,69,127,76,156,102,47,10100,93
240,20051103,87,156,132,178,524,-1,10077,80
240,20051104,51,122,81,146,266,13,10123,84
240,20051105,55,95,70,128,416,2,10200,83
240,20051106,73,114,83,145,586,22,10197,85
240,20051107,53,114,92,150,235,53,10196,90
240,20051108,63,122,88,162,512,0,10173,86
240,20051109,36,89,49,117,141,4,10213,86
240,20051110,65,94,48,121,241,6,10297,91
240,20051111,82,125,113,141,156,7,10214,90
240,20051112,49,94,71,113,290,12,10146,89
240,20051113,19,84,41,134,494,0,10234,88
240,20051114,33,62,15,109,461,0,10235,85
240,20051115,42,94,71,120,126,55,10076,89
240,20051116,48,65,45,87,313,64,10025,83
240,20051117,29,53,21,92,289,72,10115,83
240,20051118,19,36,1,97,442,7,10218,89
240,20051119,15,44,-8,97,346,9,10291,92
